,revertingDate,revertingCommit,revertedCommit,revertedDate,timeLag,type
4888,1188530810,62e6f1e8bb7c48c02b8bdb3085c5f6365682149b,61ec7567db103d537329b0db9a887db570431ff4,1187249662,15,HMG
4894,1187151566,5b31d895874f56174e4d885c065c9fc4b24b28bb,3bd92ba19a89fe61ebf58804f9c8675372f50c1c,1186177100,12,HMG
4896,1184857970,d18c4d687dd4625360ee14047d7eb454217719ee,569a7b6c2e8965ff4908003b925757703a3d649c,1182957356,22,HMG
4942,1180597248,ebdf7d399e67499dbd2a6b5154805fb049846cbb,c0affe9db42bf85f4a606b3262c35ec59a5d3788,1176699558,45,HMG
4943,1180021839,1a93fa86bf6eb0d8bed84ef18c8b35be389edee5,722385f75efd82d9f480f0765a1e97a4d83cac0d,1158871030,245,HMG
4958,1178766119,262a7a28de060f3a63cae20035876d6f22fd7670,c0d127b56937c3e72c2b1819161d2f6718eee877,1171573943,84,HMG
4959,1178765978,40d07080e585396dc58bc64befa1de0695318b3b,5f7748cf91558a5026ded5be93c5bf6c1ac34edf,1171574031,84,HMG
4960,1178765798,4d2acd9ea539e0f59178b126f6750ccc41eefcdd,a8f4af6dc6600980885c594f52eecd60edd62013,1173946236,56,HMG
4998,1175278570,4e381a4f06e3c7b350b55a2636b9d45691780eba,09fe58356d148ff66901ddf639e725ca1a48a0af,1173598320,19,HMG
5080,1163820669,b976fe19acc565e5137e6f12af7b6633a23e6b7c,37605a6900f6b4d886d995751fcfeef88c4e462c,1159258847,53,HMG
5093,1162171909,209ad53bc19667a128d9c51beba873a5c62bff6e,a2b98a697fa4e7564f78905b83db122824916cf9,1147601924,169,HMG
5169,1151196429,83626b01275d0228516b4d97da008328fc37c934,786dc1d3d7333f269e17d742886eac2188a2d9cc,1149220126,23,HMG
